f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.728,0.634,0.513,0.454,0.421,0.460,0.698,0.785,0.770,0.571,0.445,0.471,0.511,0.503,0.723,0.696,NoTouching
0.847,0.549,0.598,0.303,0.337,0.430,0.516,0.430,0.353,0.340,0.378,0.364,0.392,0.389,0.390,0.337,NoTouching
0.423,0.397,0.266,0.441,0.472,0.401,0.469,0.587,0.738,0.639,0.376,0.410,0.372,0.360,0.426,0.472,NoTouching
2.374,1.539,1.118,-0.051,-3.200,0.136,2.400,1.764,4.136,3.666,1.345,1.616,0.495,-2.666,-0.271,1.453,NoTouching
1.727,0.882,-2.405,-0.854,1.740,1.535,2.030,4.556,2.543,1.818,1.594,-0.833,-2.633,0.868,1.829,1.468,NoTouching
0.626,-2.658,-0.402,1.541,1.452,1.943,4.337,2.183,1.613,1.634,-0.289,-2.735,0.128,1.758,1.570,1.173,NoTouching
-2.214,-1.063,1.458,1.525,1.671,4.606,1.976,1.705,1.140,-1.782,-1.770,1.055,1.562,1.071,2.907,1.671,NoTouching
0.967,2.098,1.623,3.943,3.867,1.895,1.682,1.024,-2.150,-0.886,2.160,1.848,2.292,4.772,2.891,1.695,NoTouching
4.907,2.569,1.389,1.577,-0.129,-2.798,0.505,2.045,1.094,2.810,4.246,2.105,1.737,1.547,-1.225,-2.981,NoTouching
2.192,1.725,1.515,-0.980,-3.009,0.776,1.544,1.109,2.607,4.589,2.108,1.774,1.556,-1.059,-3.294,0.234,NoTouching
1.561,1.020,-2.284,-1.358,1.683,1.830,1.614,4.672,3.020,1.587,1.742,0.505,-2.943,-0.334,1.607,1.856,NoTouching
-2.584,-0.394,1.990,2.027,2.161,4.216,2.234,1.456,1.423,-0.157,-2.707,0.927,1.991,1.658,3.519,5.376,NoTouching
1.649,1.694,1.596,5.189,2.578,1.395,1.692,0.460,-2.719,0.084,1.878,1.529,2.371,4.580,2.265,1.269,NoTouching
-0.283,-0.263,-0.104,-0.069,0.251,0.329,0.201,0.400,0.245,0.154,0.107,0.111,0.179,0.171,0.360,0.243,NoTouching
0.359,0.336,0.289,0.329,0.314,0.242,0.202,0.198,0.341,0.292,0.236,0.242,0.177,0.191,0.228,0.156,NoTouching
0.343,0.325,0.253,0.189,0.270,0.358,0.257,0.280,0.294,0.310,0.218,0.255,0.213,0.247,0.314,0.312,NoTouching
0.259,0.303,0.290,0.308,0.360,0.201,0.166,0.270,0.270,0.214,0.179,0.099,0.012,0.102,0.143,0.023,NoTouching
0.223,0.174,0.247,0.224,0.248,0.216,0.293,0.263,0.296,0.214,0.185,0.207,0.233,0.223,0.235,0.282,NoTouching
0.264,0.236,0.325,0.345,0.207,0.104,0.070,0.130,0.349,0.270,0.223,0.216,0.289,0.235,0.183,0.328,NoTouching
0.296,0.281,0.209,0.229,0.243,0.282,0.277,0.300,0.319,0.318,0.290,0.288,0.286,0.265,0.266,0.319,NoTouching
0.131,0.245,0.245,0.256,0.250,0.282,0.220,0.226,0.227,0.204,0.177,0.174,0.278,0.275,0.251,0.243,NoTouching
0.279,0.276,0.289,0.300,0.181,0.213,0.196,0.205,0.244,0.263,0.305,0.289,0.226,0.161,0.146,0.207,NoTouching
0.255,0.291,0.276,0.298,0.301,0.330,0.315,0.325,0.316,0.319,0.298,0.287,0.276,0.304,0.284,0.269,NoTouching
0.872,0.822,0.784,0.913,1.062,0.959,0.865,0.866,0.827,0.766,0.621,0.605,0.667,0.649,0.643,0.639,NoTouching
0.585,0.411,0.508,0.946,0.808,0.381,0.703,1.065,0.873,1.031,0.631,0.686,0.867,0.580,0.851,0.995,NoTouching
0.486,0.188,0.491,0.730,1.155,0.586,0.477,0.870,0.857,0.825,0.949,0.954,0.400,0.213,0.307,0.406,NoTouching
0.194,0.204,0.200,0.036,0.037,0.473,0.846,0.727,0.478,0.633,0.742,0.672,0.622,0.645,0.647,0.668,NoTouching
0.238,0.517,0.425,0.531,0.331,0.228,0.520,0.515,0.385,0.441,0.453,0.503,0.406,0.215,0.080,0.030,NoTouching
0.808,0.911,0.617,0.632,0.800,0.767,0.771,1.031,0.826,0.905,0.901,0.923,0.926,0.926,0.900,0.901,NoTouching
0.879,0.928,0.880,0.913,0.908,0.950,0.919,0.883,0.690,0.675,0.494,0.447,0.445,0.415,0.379,0.908,NoTouching
0.122,0.454,1.236,0.880,0.935,0.781,0.806,0.838,0.805,0.821,0.829,0.918,0.856,0.887,0.860,0.844,NoTouching
0.160,0.080,0.059,0.246,0.379,0.479,0.474,0.353,0.344,0.377,0.419,0.360,0.339,0.363,0.321,0.341,NoTouching
0.450,0.505,0.597,0.506,0.422,0.609,0.614,0.542,0.581,0.577,0.545,0.560,0.560,0.566,0.529,0.532,NoTouching
0.756,0.742,1.246,0.605,0.850,0.924,0.791,0.397,0.898,0.936,1.030,0.480,0.514,-0.026,1.099,0.897,NoTouching
0.705,0.747,0.643,0.798,0.676,0.582,0.708,0.626,0.812,1.204,0.291,0.254,0.539,0.687,1.179,1.116,NoTouching
0.648,0.501,0.605,0.591,0.112,0.569,0.568,0.349,0.702,0.612,0.437,0.946,0.840,1.119,0.400,0.366,NoTouching
0.730,0.619,0.665,0.758,0.897,0.718,0.630,0.677,0.729,0.701,0.507,0.905,0.674,0.600,1.164,1.627,NoTouching
0.766,0.853,0.635,0.578,0.691,0.304,0.286,0.918,0.644,0.473,0.904,0.549,0.714,0.879,0.807,1.211,NoTouching
0.920,0.820,0.817,0.918,0.737,0.804,0.765,0.328,0.351,0.629,0.279,0.400,0.711,0.714,0.604,0.737,NoTouching
0.683,0.829,0.660,0.914,0.888,0.822,0.742,0.734,0.791,1.315,1.396,-0.107,0.293,0.839,-0.061,0.488,NoTouching
-0.448,0.242,-0.923,0.443,-0.696,0.577,0.997,1.618,0.514,1.000,0.828,0.520,0.824,0.679,0.549,0.673,NoTouching
0.479,0.805,0.266,0.847,0.808,1.472,0.364,0.169,0.615,-0.397,0.768,0.563,0.243,1.414,0.863,0.075,NoTouching
0.952,0.653,0.811,1.132,1.034,0.465,0.187,0.331,0.153,-0.003,0.312,0.517,0.765,0.801,0.237,0.249,NoTouching
0.449,0.734,1.018,1.096,0.945,0.942,1.081,1.233,0.967,0.761,0.973,0.900,0.966,1.029,1.169,0.927,NoTouching
0.522,0.619,0.762,0.917,0.833,0.696,0.481,0.314,0.429,0.603,0.811,0.620,0.506,0.397,0.770,0.778,NoTouching
0.356,0.405,0.667,0.838,0.709,0.352,0.192,0.317,0.605,0.931,0.715,0.329,0.278,0.317,0.604,0.856,NoTouching
1.034,1.075,0.537,0.422,0.361,0.582,0.477,0.457,0.443,0.816,1.143,1.140,1.051,0.637,0.574,0.525,NoTouching
0.717,0.595,0.458,0.622,0.779,0.887,0.980,0.850,0.816,1.033,0.907,0.620,0.476,0.524,0.794,0.758,NoTouching
0.632,0.750,0.958,0.993,0.932,0.812,0.768,0.715,0.745,0.851,0.968,0.751,0.884,0.595,0.635,0.691,NoTouching
0.759,0.787,0.862,0.933,0.965,0.758,0.591,0.537,0.689,0.900,0.786,0.479,0.293,0.345,0.624,0.638,NoTouching
0.683,0.522,0.658,0.644,0.722,0.761,0.798,0.681,0.722,0.889,0.956,0.992,0.895,0.939,1.012,0.988,NoTouching
0.229,0.240,0.345,0.463,0.555,0.517,0.560,0.654,0.793,0.762,0.470,0.303,0.348,0.561,0.815,0.784,NoTouching
0.603,0.448,0.420,0.555,0.749,0.671,0.545,0.552,0.642,0.695,0.601,0.518,0.472,0.382,0.261,0.264,NoTouching
0.632,0.607,1.055,1.729,2.015,0.974,0.546,-0.340,-2.651,-0.664,1.697,1.750,3.317,3.659,2.077,1.548,NoTouching
0.090,0.131,0.641,0.861,1.024,0.014,-0.704,0.251,0.583,0.705,1.381,2.515,1.823,0.476,-0.041,-0.728,NoTouching
2.315,1.737,1.603,0.589,-2.266,-1.641,1.416,1.690,1.842,2.723,2.852,1.525,1.371,0.016,-2.179,-0.557,NoTouching
1.000,0.167,-2.221,-0.541,1.874,1.977,3.326,4.673,2.206,1.506,1.038,-1.114,-2.099,1.702,2.096,1.610,NoTouching
2.115,1.840,3.827,2.895,1.621,1.283,0.434,-2.671,-0.319,1.318,1.511,2.020,3.900,2.293,1.294,1.790,NoTouching
1.207,1.270,3.035,2.483,1.145,1.209,0.659,-1.954,-3.305,0.057,1.703,0.895,2.500,2.782,1.666,1.082,NoTouching
1.493,0.695,3.028,2.538,1.210,1.255,0.957,-1.206,-3.514,-0.289,1.082,1.017,1.322,4.278,2.399,1.289,NoTouching
1.159,1.144,1.355,4.428,2.299,1.284,1.531,0.895,-2.661,-1.861,0.963,1.690,0.933,2.847,2.888,1.790,NoTouching
