f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-32.267,31.836,-76.513,-0.323,0.318,-0.765,0.062,0.389,0.208,-0.194,1.221,-0.272,0.000,1.000,0.000,-0.306,0.278,-0.835,0.054,0.355,0.170,0.054,0.353,0.162,0.314,0.249,0.989,2.339,1.460,2.768,NoTouching
-39.697,84.058,12.216,-0.397,0.841,0.122,0.082,0.168,0.335,-0.207,0.200,2.742,0.000,0.000,3.000,-0.408,0.861,-0.008,0.068,0.141,0.287,0.068,0.139,0.264,0.284,-0.130,0.699,2.272,2.199,2.082,NoTouching
-50.975,75.758,27.226,-0.510,0.758,0.272,0.080,0.069,0.249,-0.156,0.091,0.914,0.000,0.000,4.000,-0.526,0.776,0.303,0.067,0.056,0.216,0.065,0.054,0.216,0.339,-0.655,0.102,1.911,2.891,1.806,NoTouching
-35.098,72.359,54.011,-0.351,0.724,0.540,0.048,0.173,0.276,-0.137,0.239,0.511,0.000,0.000,2.000,-0.362,0.690,0.636,0.031,0.135,0.222,0.030,0.132,0.204,2.035,0.504,-0.967,8.241,3.542,2.803,NoTouching
-46.525,73.959,46.497,-0.465,0.740,0.465,0.063,0.118,0.247,-0.135,0.159,0.532,0.000,0.000,1.000,-0.454,0.736,0.468,0.046,0.100,0.192,0.044,0.100,0.192,-0.263,-0.195,-1.110,2.732,2.041,3.990,NoTouching
-37.355,51.208,-71.783,-0.374,0.512,-0.718,0.072,0.189,0.142,-0.193,0.368,-0.197,0.000,0.000,0.000,-0.380,0.464,-0.759,0.056,0.142,0.119,0.056,0.134,0.113,0.236,1.441,0.579,2.889,4.865,2.463,NoTouching
-41.892,75.736,-4.335,-0.419,0.757,-0.043,0.084,0.240,0.461,-0.200,0.317,-10.635,0.000,0.000,1.000,-0.411,0.739,0.071,0.063,0.184,0.430,0.062,0.183,0.424,-0.785,0.154,-0.080,3.788,3.575,1.420,NoTouching
-48.950,60.334,60.146,-0.490,0.603,0.601,0.054,0.146,0.155,-0.111,0.242,0.257,0.000,0.000,0.000,-0.504,0.620,0.638,0.042,0.125,0.124,0.040,0.124,0.120,1.147,0.204,-0.724,4.150,2.215,2.958,NoTouching
-40.476,47.029,-62.908,-0.405,0.470,-0.629,0.114,0.194,0.468,-0.281,0.413,-0.743,0.000,0.000,0.000,-0.419,0.450,-0.790,0.081,0.138,0.359,0.079,0.136,0.309,0.786,1.582,1.251,3.554,6.688,3.587,NoTouching
-41.653,48.331,-74.803,-0.417,0.483,-0.748,0.087,0.149,0.126,-0.208,0.308,-0.168,0.000,0.000,0.000,-0.408,0.466,-0.764,0.072,0.121,0.090,0.071,0.120,0.088,-0.489,0.174,0.739,2.794,2.474,4.037,NoTouching
195.899,138.825,31.703,1.959,1.388,0.317,0.614,2.165,0.843,0.313,1.560,2.658,0.000,2.000,9.000,1.883,1.770,0.185,0.502,1.538,0.641,0.497,1.512,0.629,0.060,-0.494,0.323,2.458,3.799,3.240,NoTouching
190.212,135.722,94.075,1.902,1.357,0.941,0.483,1.905,0.677,0.254,1.404,0.720,0.000,2.000,4.000,1.994,1.652,0.923,0.407,1.306,0.468,0.402,1.225,0.468,-0.504,-0.618,0.958,2.390,3.886,5.078,NoTouching
177.788,122.685,30.985,1.778,1.227,0.310,0.523,1.885,1.121,0.294,1.536,3.618,0.000,2.000,6.000,1.789,1.552,0.201,0.411,1.265,0.778,0.410,1.182,0.766,0.200,-0.370,0.083,3.173,4.767,5.476,NoTouching
136.803,100.662,33.379,1.410,1.038,0.344,0.591,2.000,1.133,0.419,1.927,3.293,0.000,2.000,6.000,1.381,1.416,0.079,0.419,1.441,0.835,0.419,1.340,0.779,0.830,-0.049,0.865,4.567,3.579,3.472,NoTouching
161.762,144.510,69.935,1.586,1.417,0.686,0.437,1.946,0.717,0.276,1.373,1.046,0.000,3.000,5.000,1.602,1.687,0.654,0.361,1.351,0.510,0.361,1.294,0.509,-0.035,-0.402,0.967,2.001,3.700,4.056,NoTouching
162.596,153.160,53.995,1.594,1.502,0.529,0.582,2.203,0.950,0.365,1.467,1.795,0.000,2.000,8.000,1.451,1.414,0.402,0.468,1.491,0.708,0.454,1.487,0.694,0.794,-0.031,0.323,3.249,3.742,4.192,NoTouching
177.875,128.108,73.681,1.727,1.244,0.715,0.551,2.117,0.593,0.319,1.702,0.830,0.000,2.000,6.000,1.733,1.497,0.737,0.384,1.390,0.410,0.384,1.369,0.409,0.128,-0.332,0.104,4.157,4.627,4.210,NoTouching
149.107,136.909,55.763,1.462,1.342,0.547,0.431,1.957,0.590,0.295,1.458,1.079,0.000,2.000,4.000,1.441,1.585,0.489,0.360,1.328,0.398,0.359,1.271,0.393,0.274,-0.560,1.333,2.309,3.721,5.489,NoTouching
163.685,118.380,49.060,1.605,1.161,0.481,0.750,1.975,0.894,0.467,1.702,1.858,0.000,2.000,8.000,1.477,1.564,0.286,0.620,1.470,0.643,0.612,1.354,0.598,0.438,-0.571,1.068,2.331,3.294,4.169,NoTouching
151.016,141.256,32.163,1.466,1.371,0.312,0.595,2.080,0.793,0.406,1.517,2.539,0.000,2.000,10.000,1.374,1.577,0.253,0.451,1.298,0.479,0.442,1.265,0.476,1.056,0.313,-0.098,4.000,6.175,7.776,NoTouching
-8.406,8.908,-97.513,-0.082,0.087,-0.956,0.055,0.247,0.058,-0.662,2.832,-0.060,2.000,3.000,0.000,-0.072,0.135,-0.960,0.043,0.219,0.045,0.041,0.217,0.045,-0.575,-0.137,-0.068,2.661,1.741,3.182,NoTouching
-13.250,29.173,-95.414,-0.130,0.286,-0.935,0.061,0.074,0.057,-0.470,0.260,-0.061,2.000,0.000,0.000,-0.145,0.306,-0.937,0.047,0.058,0.042,0.046,0.056,0.042,1.251,-0.908,-0.675,5.297,3.484,4.944,NoTouching
-12.716,29.096,-96.039,-0.125,0.285,-0.942,0.070,0.076,0.060,-0.559,0.267,-0.064,6.000,0.000,0.000,-0.128,0.290,-0.940,0.042,0.062,0.039,0.042,0.062,0.039,-1.736,-0.347,0.110,12.264,2.529,7.105,NoTouching
-13.001,26.847,-96.701,-0.127,0.263,-0.948,0.036,0.095,0.055,-0.281,0.360,-0.058,2.000,2.000,0.000,-0.138,0.273,-0.942,0.027,0.067,0.035,0.026,0.066,0.034,1.252,-0.575,-1.412,5.162,5.404,9.161,NoTouching
-12.241,24.443,-96.579,-0.120,0.240,-0.947,0.053,0.051,0.060,-0.438,0.215,-0.064,3.000,0.000,0.000,-0.128,0.236,-0.946,0.035,0.042,0.041,0.034,0.042,0.041,0.587,0.171,-0.243,5.604,3.166,4.501,NoTouching
-12.859,23.351,-96.978,-0.126,0.229,-0.951,0.079,0.138,0.091,-0.627,0.604,-0.095,4.000,8.000,0.000,-0.132,0.256,-0.945,0.053,0.101,0.064,0.053,0.098,0.064,0.678,-1.093,-0.911,4.979,4.623,5.087,NoTouching
-13.357,28.140,-95.930,-0.131,0.276,-0.940,0.044,0.054,0.039,-0.334,0.196,-0.042,2.000,0.000,0.000,-0.127,0.281,-0.937,0.032,0.044,0.030,0.032,0.044,0.030,-0.080,-0.265,0.010,4.634,2.894,3.532,NoTouching
-13.334,23.055,-96.767,-0.132,0.228,-0.958,0.063,0.069,0.052,-0.479,0.301,-0.054,2.000,0.000,0.000,-0.131,0.233,-0.958,0.043,0.053,0.040,0.043,0.053,0.040,0.557,0.345,-0.635,5.408,4.143,4.364,NoTouching
-13.504,25.074,-96.676,-0.132,0.246,-0.948,0.059,0.059,0.065,-0.449,0.240,-0.068,2.000,0.000,0.000,-0.141,0.255,-0.943,0.038,0.045,0.044,0.037,0.045,0.044,1.226,0.711,-0.189,8.370,6.912,4.307,NoTouching
-14.887,30.872,-94.857,-0.146,0.303,-0.930,0.014,0.036,0.019,-0.099,0.119,-0.020,0.000,0.000,0.000,-0.143,0.306,-0.931,0.011,0.027,0.012,0.011,0.027,0.012,-0.478,-0.071,-0.103,3.600,3.595,6.950,NoTouching
