f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.160,-0.158,-0.249,-0.295,-0.342,-0.242,-0.218,-0.198,-0.209,-0.226,-0.226,-0.277,-0.298,-0.335,-0.338,-0.310,NoTouching
-0.261,-0.280,-0.267,-0.287,-0.302,-0.275,-0.245,-0.263,-0.268,-0.262,-0.267,-0.281,-0.265,-0.259,-0.270,-0.318,NoTouching
0.093,0.297,0.806,0.085,0.525,0.306,0.046,0.811,0.026,0.444,0.389,0.334,0.619,0.306,0.329,0.746,NoTouching
0.802,-0.086,0.420,0.359,-0.013,0.704,-0.104,0.185,0.656,0.474,0.135,0.839,0.459,-0.007,0.700,0.754,NoTouching
0.479,0.370,0.161,0.003,0.805,0.067,-0.058,0.903,-0.139,0.331,0.743,-0.020,0.477,0.436,0.345,0.499,NoTouching
-0.104,0.756,0.120,0.003,0.721,-0.041,0.159,0.758,-0.138,0.535,0.577,-0.132,0.839,0.256,-0.116,0.239,NoTouching
0.269,-0.207,0.463,0.642,-0.400,0.622,0.427,-0.385,0.695,0.325,-0.216,0.775,-0.035,0.259,0.548,0.423,NoTouching
0.000,0.694,0.057,0.085,0.780,0.093,-0.194,0.727,0.179,-0.257,0.868,0.039,-0.252,0.936,-0.123,0.780,NoTouching
-0.213,0.762,0.157,-0.070,0.495,0.298,-0.041,0.541,0.179,0.014,0.662,0.219,0.369,0.865,0.208,0.193,NoTouching
0.508,0.726,0.279,0.918,0.527,0.480,-0.047,-0.000,0.068,0.601,0.339,-0.376,0.693,-0.238,0.066,0.819,NoTouching
-0.020,0.003,0.702,-0.235,0.350,0.449,0.445,0.334,0.842,0.179,0.711,0.569,0.066,0.573,0.348,-0.099,NoTouching
0.166,0.074,-0.097,-0.080,0.163,0.311,0.907,0.879,1.117,0.634,0.773,1.041,1.557,1.266,0.641,0.537,NoTouching
-0.290,-0.292,-0.266,-0.215,-0.352,-0.400,-0.368,-0.284,-0.367,-0.393,-0.395,-0.357,-0.331,-0.271,-0.273,-0.352,NoTouching
-0.384,-0.321,-0.381,-0.463,-0.521,-0.444,-0.292,-0.285,-0.424,-0.454,-0.432,-0.421,-0.358,-0.377,-0.420,-0.451,NoTouching
-0.398,-0.396,-0.411,-0.522,-0.570,-0.550,-0.526,-0.528,-0.571,-0.626,-0.517,-0.411,-0.400,-0.435,-0.504,-0.487,NoTouching
-0.372,-0.395,-0.395,-0.323,-0.259,-0.354,-0.365,-0.359,-0.346,-0.343,-0.333,-0.343,-0.459,-0.527,-0.501,-0.575,NoTouching
-0.556,-0.575,-0.488,-0.451,-0.453,-0.455,-0.460,-0.447,-0.378,-0.389,-0.495,-0.724,-0.800,-0.748,-0.462,-0.295,NoTouching
-0.393,-0.399,-0.382,-0.415,-0.485,-0.310,-0.297,-0.401,-0.341,-0.312,-0.298,-0.344,-0.341,-0.333,-0.356,-0.421,NoTouching
-0.404,-0.375,-0.560,-0.410,-0.450,-0.487,-0.423,-0.337,-0.338,-0.405,-0.475,-0.526,-0.485,-0.454,-0.475,-0.463,NoTouching
-0.466,-0.514,-0.476,-0.499,-0.548,-0.537,-0.511,-0.367,-0.454,-0.522,-0.522,-0.528,-0.523,-0.489,-0.497,-0.479,NoTouching
-0.570,-0.513,-0.377,-0.176,-0.281,-0.429,-0.455,-0.426,-0.405,-0.416,-0.433,-0.420,-0.424,-0.417,-0.373,-0.281,NoTouching
-0.492,-0.311,-0.383,-0.470,-0.433,-0.376,-0.343,-0.368,-0.458,-0.531,-0.514,-0.471,-0.375,-0.368,-0.484,-0.433,NoTouching
2.046,1.867,1.693,1.298,0.995,2.259,2.588,1.812,2.385,2.648,1.935,1.463,1.076,1.079,1.793,2.738,NoTouching
2.126,1.476,1.174,1.486,2.345,2.063,1.894,2.225,1.909,2.325,2.090,1.321,1.064,2.159,2.307,1.574,NoTouching
1.575,0.886,1.618,2.100,1.600,1.855,2.755,1.578,1.993,1.819,1.169,0.783,1.736,1.975,1.277,1.132,NoTouching
0.897,1.048,1.545,1.243,1.439,2.637,1.602,1.613,1.278,0.581,1.047,2.446,1.904,1.557,2.462,1.439,NoTouching
2.083,2.096,1.408,1.400,1.884,1.624,1.590,1.063,1.352,1.262,2.077,1.527,0.708,1.675,1.712,1.624,NoTouching
2.127,1.703,1.414,1.264,1.123,0.852,1.901,2.681,1.178,1.628,2.064,1.649,1.852,1.415,1.145,0.811,NoTouching
1.592,1.903,1.628,0.737,1.168,1.837,1.969,1.659,2.709,2.059,1.960,2.380,2.161,1.430,1.228,1.814,NoTouching
1.421,1.126,1.047,1.022,2.065,1.627,1.079,2.021,1.466,1.692,1.618,1.383,0.807,1.685,2.663,2.327,NoTouching
1.007,1.583,2.774,1.781,0.642,2.421,1.936,1.516,1.209,1.340,0.805,2.093,2.470,1.288,1.527,2.257,NoTouching
1.916,1.424,1.073,2.284,1.589,1.422,1.264,1.030,0.889,1.649,2.067,1.212,1.586,2.098,1.403,1.329,NoTouching
-0.044,-0.070,-0.069,-0.016,-0.106,-0.089,-0.064,-0.172,-0.082,-0.095,-0.141,-0.118,-0.108,-0.104,-0.126,-0.095,NoTouching
-0.169,-0.161,-0.147,-0.162,-0.075,-0.015,-0.077,-0.132,-0.164,-0.184,-0.034,-0.052,-0.253,-0.134,0.007,-0.069,NoTouching
-0.138,-0.103,-0.070,-0.115,-0.121,-0.146,-0.125,-0.133,-0.152,-0.150,-0.121,-0.113,-0.174,-0.128,-0.139,-0.126,NoTouching
-0.133,-0.146,-0.149,-0.136,-0.135,-0.115,-0.091,-0.130,-0.125,-0.106,-0.144,-0.001,-0.021,-0.108,-0.031,0.005,NoTouching
-0.026,-0.092,-0.134,-0.114,-0.149,-0.140,-0.130,-0.140,-0.142,-0.135,-0.110,-0.118,-0.149,-0.127,-0.134,-0.146,NoTouching
-0.130,-0.148,-0.145,-0.147,-0.154,-0.045,-0.023,-0.093,-0.238,-0.145,-0.112,-0.134,-0.140,-0.123,-0.120,-0.168,NoTouching
-0.144,-0.073,-0.101,-0.110,-0.175,-0.138,-0.139,-0.137,-0.144,-0.151,-0.118,-0.143,-0.141,-0.157,-0.143,-0.141,NoTouching
-0.175,-0.147,-0.110,-0.137,-0.133,-0.143,-0.114,-0.148,-0.176,-0.046,-0.104,-0.116,-0.112,-0.141,-0.257,-0.155,NoTouching
-0.155,-0.154,-0.142,-0.212,-0.026,-0.074,-0.134,-0.148,-0.124,-0.149,-0.167,-0.145,-0.171,-0.117,-0.080,-0.046,NoTouching
-0.131,-0.142,-0.138,-0.139,-0.145,-0.157,-0.141,-0.157,-0.157,-0.152,-0.157,-0.148,-0.137,-0.138,-0.135,-0.107,NoTouching
-0.312,-0.248,-0.266,-0.375,-0.493,-0.456,-0.399,-0.432,-0.523,-0.620,-0.674,-0.689,-0.740,-0.746,-0.769,-0.759,NoTouching
-0.518,-0.583,-0.590,-0.643,-0.772,-0.611,-0.375,-0.451,-0.608,-0.597,-0.520,-0.409,-0.487,-0.533,-0.477,-0.497,NoTouching
